country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,HDI,people_fully_vaccinated
Thailand,Asia,4373846,29475,4273599,7772,1496,62371,42,1727775,246281,7126166,5.59E+04,0.80 ,
Timor Leste,Asia,22889,131,22746,12,,16766,96,264799,193963,136524,,,
Togo,Africa,3723,273,36727,23,,4285,32,735638,85144,8639966,84132568,0.54 ,155.466
Tonga,Australia/Oceania,1149,11,111,928,,12376,12,518262,48212,17926,46923139.5,0.75 ,7.7331
Trinidad And Tobago,North America,154643,3871,141354,9418,18,19837,2749,726218,51586,147928,2446196271,0.81 ,
Tunisia,Africa,141197,28575,,,29,86414,2372,4592916,381189,1248936,46686741814,0.73 ,639.996
Turkey,Asia,1553168,9889,14951238,34,975,174977,1149,1662271,186771,862925,,,
Turks And Caicos Islands,North America,646,36,5963,47,4,152323,97,55354,12731886,39692,9432698,,
Uganda,Africa,16469,3596,125,6268,2,3388,74,2612795,5395,48429823,452978926,0.53 ,134.317
UK,Europe,2215985,17678,21677896,3521,253,323264,2578,51926496,757495,6855166,,,
Ukraine,Europe,5646,18449,,,177,115771,258,19521252,451415,43244553,2.86E+02,0.77 ,
United Arab Emirates,Asia,92484,232,886128,1454,,8924,228,15913283,15732628,111295,4.15E+04,0.91 ,
Uruguay,South America,9254,7213,892434,2893,18,258152,263,6114822,174915,3496151,59319484711,0.81 ,29.222
USA,North America,8429473,126646,8124426,1938567,1941,251659,368,11688255,338939,334617623,,,
Uzbekistan,Asia,23882,1637,236974,191,23,6947,48,1377915,488,34372515,692389316,0.73 ,1814.4247
Vanuatu,Australia/Oceania,8457,14,7974,469,,26386,44,24976,77926,3258,956332655.7,0.61 ,
Venezuela,South America,522921,5711,51617,14,23,18487,22,335914,118752,2828599,,,
Viet Nam,Asia,169663,4365,93554,1298525,34,188,435,85811485,86748,98969721,,0.70 ,
Wallis And Futuna Islands,Australia/Oceania,454,7,438,9,,41755,644,258,188614,1873,,,
Western Sahara,Africa,1,1,9,,,16,2,,,624681,,,
Yemen,Asia,11819,2149,99,661,23,381,69,265253,8543,314915,,0.46 ,77.3549
Zambia,Africa,32591,3983,315997,611,,16575,26,3452554,178497,19342381,22147634727,0.57 ,874.74
Zimbabwe,Africa,24926,5482,242417,137,12,16324,359,2287793,149863,15265849,28371238666,0.59 ,
